画像ファイル名,一次粒子ID,二次粒子ID,粒子形態,Lmajor[um],Lminor[um],L[um],Lmean[um],n,Agg.,Area[um^2]
hoge.png,1,1,primary,102.959,71.171,,,,,
hoge.png,2,1,primary,100.394,57.515,,,,,
hoge.png,3,1,primary,66.133,91.15,,,,,
hoge.png,4,1,primary,81.125,57.585,,,,,
hoge.png,5,1,primary,113.193,174.233,,,,,
hoge.png,6,1,primary,115.494,92.107,,,,,
hoge.png,"1,2,3,4,5,6",1,secondary,344.386,365.552,,,,,
hoge.png,7,2,primary,111.625,87.069,,,,,
hoge.png,8,2,primary,113.472,76.477,,,,,
hoge.png,9,2,primary,100.016,105.778,,,,,
hoge.png,10,2,primary,62.307,65.708,,,,,
hoge.png,11,2,primary,116.706,85.672,,,,,
hoge.png,12,2,primary,92.93,60.281,,,,,
hoge.png,"7,8,9,10,11,12",2,secondary,347.012,226.198,,,,,
fuga.png,13,3,primary,87.792,84.311,,,,,
fuga.png,14,3,primary,113.413,70.769,,,,,
fuga.png,15,3,primary,55.667,53.047,,,,,
fuga.png,16,3,primary,80.132,79.937,,,,,
fuga.png,17,3,primary,102.847,63.391,,,,,
fuga.png,18,3,primary,60.569,56.121,,,,,
fuga.png,"13,14,15,16,17,18",3,secondary,249.436,250.98,,,,,
fuga.png,19,4,primary,91.753,76.813,,,,,
fuga.png,20,4,primary,56.248,40.085,,,,,
fuga.png,21,4,primary,216.045,116.262,,,,,
fuga.png,22,4,primary,123.718,74.436,,,,,
fuga.png,23,4,primary,78.77,60.576,,,,,
fuga.png,24,4,primary,92.416,99.588,,,,,
fuga.png,25,4,primary,91.913,100.797,,,,,
fuga.png,26,4,primary,71.731,50.722,,,,,
fuga.png,"19,20,21,22,23,24,25,26",4,secondary,417.72,297.575,,,,,
piyo.png,27,5,primary,176.136,80.42,,,,,
piyo.png,28,5,primary,68.721,64.172,,,,,
piyo.png,29,5,primary,71.52,57.399,,,,,
piyo.png,30,5,primary,79.445,69.909,,,,,
piyo.png,31,5,primary,94.976,87.345,,,,,
piyo.png,32,5,primary,120.241,116.725,,,,,
piyo.png,33,5,primary,62.243,59.381,,,,,
piyo.png,"27,28,29,30,31,32,33",5,secondary,467.06,258.564,,,,,
piyo.png,34,6,primary,102.946,39.818,,,,,
piyo.png,35,6,primary,97.03,67.281,,,,,
piyo.png,36,6,primary,66.247,59.673,,,,,
piyo.png,37,6,primary,60.451,57.026,,,,,
piyo.png,38,6,primary,46.777,38.174,,,,,
piyo.png,"34,35,36,37,38",6,secondary,308.971,159.12,,,,,
moge.png,39,7,primary,55.378,56.057,,,,,
moge.png,40,7,primary,67.095,62.3,,,,,
moge.png,41,7,primary,84.4,81.803,,,,,
moge.png,42,7,primary,91.913,83.291,,,,,
moge.png,43,7,primary,45.328,50.006,,,,,
moge.png,44,7,primary,92.276,74.918,,,,,
moge.png,45,7,primary,65.64,47.326,,,,,
moge.png,"39,40,41,42,43,44,45",7,secondary,286.283,199.351,,,,,
moge.png,46,8,primary,88.71,63.278,,,,,
moge.png,47,8,primary,154.738,98.762,,,,,
moge.png,48,8,primary,75.681,54.373,,,,,
moge.png,49,8,primary,117.738,61.328,,,,,
moge.png,50,8,primary,109.825,73.4,,,,,
moge.png,51,8,primary,61.61,43.072,,,,,
moge.png,52,8,primary,68.279,64.186,,,,,
